,Identifies_the_type_of_dwelling,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Lot_configuration,LandSlope,Neighborhood,Condition1,Condition2,Type_of_dwelling,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Roof_material,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical_system,1stFlrSF,Low_quality_finished_square_feet,GrLivArea,BedroomAbvGr,KitchenAbvGr,Kitchen_Quality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Garage_location,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,Garage_condition,Paved driveway,Pool_quality,Fence_Quality,Miscellaneous_feature,miscellaneous_feature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,AgeAtSale,TotalSqFt,TotalBathrooms,TotalPorchArea,TotalFinishedSqFt,TotalQualityScore,TotalGarageScore,TotalOutdoorArea,DateSold,Sentiment
683,1-STORY 1946 & NEWER ALL STYLES,RL,90,11248,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2002,Hip,CompShg,VinylSd,VinylSd,215,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,567,1626,GasA,Ex,Y,SBrkr,1668,0,1668,3,1,Gd,7,Typ,1,TA,Attchd,2002,Fin,3,702,TA,TA,Y,No,No,No,0,Jul,2007,WD,Normal,285000,86.52094717668488,5,3294,2.0,45,2727,14,2106,302,2007-07-01,0.0
684,2-STORY 1946 & NEWER,RL,58,16770,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,30,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1195,1195,GasA,Gd,Y,SBrkr,1195,0,1839,4,1,TA,7,Typ,0,No,Attchd,1998,Fin,2,486,TA,TA,Y,No,No,No,0,Jun,2010,WD,Normal,221000,72.84113381674358,12,3034,2.5,81,1839,12,972,81,2010-06-01,0.0
685,2-STORY PUD - 1946 & NEWER,RL,0,5062,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,2Story,7,5,1984,Gable,CompShg,HdBoard,HdBoard,0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,LwQ,180,1190,GasA,Gd,Y,SBrkr,1190,0,2090,3,1,Gd,6,Min1,1,TA,Attchd,1984,Fin,2,577,TA,TA,Y,No,No,No,0,Sep,2007,WD,Normal,207500,63.26219512195122,23,3280,2.0,0,3100,12,1154,219,2007-09-01,0.0
686,2-STORY 1946 & NEWER,FV,84,10207,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,6,2007,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,874,874,GasA,Ex,Y,SBrkr,874,0,1761,3,1,Gd,7,Typ,0,No,Attchd,2007,Fin,2,578,TA,TA,Y,No,No,No,0,Aug,2007,New,Partial,227875,86.48007590132828,0,2635,3.0,105,1761,13,1156,249,2007-08-01,0.0
687,2-STORY PUD - 1946 & NEWER,FV,0,5105,Pave,IR2,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,Gable,CompShg,MetalSd,MetalSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,312,551,GasA,Ex,Y,SBrkr,551,0,1102,2,1,Gd,4,Typ,0,No,Detchd,2004,Unf,2,480,TA,TA,Y,No,No,No,0,Mar,2007,WD,Normal,148800,90.01814882032667,3,1653,2.5,60,1341,12,960,60,2007-03-01,0.0
688,1-STORY 1946 & NEWER ALL STYLES,RL,60,8089,Pave,Reg,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,6,2007,Gable,CompShg,MetalSd,MetalSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,474,1419,GasA,Ex,Y,SBrkr,1419,0,1419,2,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,2,567,TA,TA,Y,No,No,No,0,Oct,2007,New,Partial,392000,138.12544045102186,0,2838,2.0,0,2364,14,1134,140,2007-10-01,0.0
689,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,61,7577,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,6,5,2006,Gable,CompShg,VinylSd,VinylSd,256,Gd,TA,PConc,Gd,TA,Av,ALQ,Unf,1342,1362,GasA,Ex,Y,SBrkr,1362,0,1362,2,1,Gd,6,Typ,1,Gd,Attchd,2005,RFn,2,460,TA,TA,Y,No,No,No,0,Jun,2007,WD,Normal,194700,71.47577092511013,2,2724,2.0,28,1382,11,920,220,2007-06-01,0.0
690,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,0,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,147,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,151,848,GasA,Ex,Y,SBrkr,848,0,848,1,1,Gd,3,Typ,1,TA,Attchd,2004,RFn,2,420,TA,TA,Y,No,No,No,0,May,2008,WD,Normal,141000,83.13679245283019,4,1696,1.0,0,1545,11,840,149,2008-05-01,0.0
691,2-STORY 1946 & NEWER,RL,104,21535,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,6,1995,Gable,WdShngl,HdBoard,HdBoard,1170,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,989,2444,GasA,Ex,Y,SBrkr,2444,0,4316,4,1,Ex,10,Typ,2,Ex,Attchd,1994,Fin,3,832,TA,TA,Y,No,No,No,0,Jan,2007,WD,Normal,755000,111.68639053254438,13,6760,3.5,50,5771,16,2496,432,2007-01-01,0.0
692,2-STORY 1946 & NEWER,RL,42,26178,Pave,IR1,Lvl,AllPub,Inside,Mod,Timber,Norm,Norm,1Fam,2Story,7,5,1990,Hip,CompShg,MetalSd,MetalSd,293,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,245,1210,GasA,Ex,Y,SBrkr,1238,0,2519,4,1,Gd,9,Typ,2,Gd,Attchd,1989,RFn,2,628,TA,TA,Y,No,No,No,0,Apr,2006,WD,Normal,335000,89.83641727004559,17,3729,2.5,27,3484,12,1256,347,2006-04-01,0.0
693,1-STORY 1945 & OLDER,RL,60,5400,Pave,Reg,Lvl,AllPub,Corner,Sev,OldTown,Norm,Norm,1Fam,1Story,5,6,1968,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1073,1073,GasA,Ex,Y,SBrkr,1073,0,1073,2,1,TA,4,Typ,0,No,Detchd,1968,Unf,1,326,TA,TA,Y,No,No,No,0,Dec,2006,WD,Abnorml,108480,50.549860205032616,85,2146,1.0,112,1073,11,326,0,2006-12-01,0.0
694,1-1/2 STORY FINISHED ALL AGES,RM,51,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,927,927,GasA,TA,Y,SBrkr,1067,0,1539,3,1,TA,5,Typ,0,No,Detchd,1995,Unf,2,576,TA,TA,Y,No,MnPrv,No,0,Apr,2009,WD,Normal,141500,57.38037307380373,73,2466,1.5,0,1539,11,1152,112,2009-04-01,0.0
695,1-STORY 1946 & NEWER ALL STYLES,RL,54,13811,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,6,1987,Gable,CompShg,HdBoard,HdBoard,72,TA,TA,CBlock,Gd,Gd,No,GLQ,LwQ,92,1112,GasA,Gd,Y,SBrkr,1137,0,1137,2,1,Gd,5,Typ,1,TA,Attchd,1987,Unf,2,551,TA,TA,Y,No,No,No,0,Jul,2006,WD,Normal,176000,78.25700311249444,19,2249,2.0,0,2157,12,1102,125,2006-07-01,0.0
696,1-STORY 1945 & OLDER,RM,50,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1950,Gable,CompShg,Wd Sdng,Wd Shng,0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,0,616,GasA,Gd,Y,SBrkr,616,0,616,2,1,TA,4,Typ,0,No,Detchd,1921,Unf,1,205,TA,TA,Y,No,No,No,0,Jun,2006,WD,Normal,89000,72.24025974025975,85,1232,1.0,129,1232,12,205,0,2006-06-01,0.0
697,1-STORY 1946 & NEWER ALL STYLES,RL,57,6420,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1952,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,Ex,Gd,Mn,LwQ,ALQ,219,980,GasA,Fa,Y,FuseA,1148,0,1148,2,1,TA,6,Typ,0,No,Detchd,1952,Unf,1,308,TA,TA,Y,No,No,No,0,Sep,2006,WD,Normal,123500,58.035714285714285,54,2128,1.0,0,1909,12,308,0,2006-09-01,0.0
698,1-STORY 1946 & NEWER ALL STYLES,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,2009,Gable,CompShg,MetalSd,MetalSd,0,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,224,894,GasA,Ex,Y,SBrkr,894,0,894,3,1,TA,5,Typ,1,Gd,Detchd,1973,Unf,1,336,TA,TA,Y,No,MnPrv,No,0,Apr,2010,WD,Normal,138500,77.46085011185683,45,1788,1.0,144,1564,13,336,560,2010-04-01,0.0
699,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,FV,59,4282,Pave,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,Gable,CompShg,MetalSd,MetalSd,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1375,1391,GasA,Ex,Y,SBrkr,1391,0,1391,2,1,Gd,5,Typ,0,No,Attchd,2004,RFn,2,530,TA,TA,Y,No,No,No,0,Jul,2008,WD,Normal,196000,70.4529115744069,4,2782,2.0,158,1407,12,1060,314,2008-07-01,0.0
700,1-STORY 1946 & NEWER ALL STYLES,RL,85,14331,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,630,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,526,1800,GasA,Ex,Y,SBrkr,1800,0,1800,3,1,Gd,7,Typ,1,Gd,Attchd,2002,Fin,3,765,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,312500,86.80555555555556,4,3600,2.0,78,3074,13,2295,348,2006-05-01,0.0
701,1-STORY 1946 & NEWER ALL STYLES,RL,80,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1969,Hip,CompShg,HdBoard,HdBoard,168,TA,TA,CBlock,TA,TA,No,Unf,Unf,1164,1164,GasA,TA,Y,SBrkr,1164,0,1164,3,1,TA,6,Typ,0,No,Attchd,1969,Unf,2,528,TA,TA,Y,No,No,No,0,Jul,2006,COD,Normal,140000,60.13745704467354,37,2328,1.5,0,1164,12,1056,0,2006-07-01,0.0
702,2-STORY 1946 & NEWER,RL,82,12438,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,8,5,2006,Hip,CompShg,VinylSd,VinylSd,466,Ex,TA,PConc,Ex,Gd,No,Unf,Unf,1234,1234,GasA,Ex,Y,SBrkr,1264,0,2576,4,1,Ex,10,Typ,1,Gd,BuiltIn,2006,Fin,3,666,TA,TA,Y,No,No,No,0,Jul,2006,New,Partial,361919,94.99186351706037,0,3810,2.5,100,2576,13,1998,424,2006-07-01,0.0
703,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,76,7630,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,2fmCon,2Story,5,9,1996,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,Gd,BrkTil,Gd,TA,No,Unf,Unf,360,360,GasA,Gd,Y,SBrkr,1032,0,1812,4,2,Gd,8,Typ,1,Po,Detchd,1999,Unf,2,672,TA,TA,N,No,MnPrv,No,0,May,2010,WD,Normal,140000,64.45672191528546,110,2172,2.0,40,1812,14,1344,344,2010-05-01,0.0
704,1-STORY 1946 & NEWER ALL STYLES,RL,70,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,109,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,761,1473,GasA,Ex,Y,SBrkr,1484,0,1484,3,1,Gd,7,Typ,0,No,Attchd,2004,RFn,2,606,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,213000,72.03246533648968,6,2957,2.0,179,2196,12,1212,35,2010-05-01,0.0
705,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,70,5600,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,2Story,4,5,1950,Hip,CompShg,VinylSd,Wd Shng,0,Fa,Fa,Slab,No,No,No,No,No,0,0,GasA,Fa,N,SBrkr,372,0,1092,3,2,Fa,7,Mod,0,No,No,2005,No,0,0,No,No,N,No,No,Othr,3500,Jul,2010,WD,Normal,55000,50.366300366300365,80,1092,2.0,0,1092,9,0,0,2010-07-01,0.0
706,1-STORY 1946 & NEWER ALL STYLES,RL,0,115149,Pave,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,5,2002,Gable,CompShg,Plywood,Plywood,351,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,424,1643,GasA,TA,Y,SBrkr,1824,0,1824,2,1,Gd,5,Typ,2,TA,Attchd,1971,Unf,2,739,TA,TA,Y,No,No,No,0,Jun,2007,WD,Normal,302000,87.10700894144794,36,3467,2.0,48,3043,12,1478,428,2007-06-01,0.0
707,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,48,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Hip,CompShg,MetalSd,MetalSd,176,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,461,1324,GasA,Ex,Y,SBrkr,1324,0,1324,2,1,Gd,6,Typ,1,Gd,Attchd,2006,Fin,2,550,TA,TA,Y,No,No,No,0,Dec,2009,WD,Normal,254000,95.9214501510574,3,2648,2.0,38,2187,13,1100,230,2009-12-01,0.0
708,2-STORY 1946 & NEWER,RL,65,9018,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2007,Hip,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,728,728,GasA,Ex,Y,SBrkr,728,0,1456,3,1,Gd,8,Typ,1,Gd,Attchd,2007,Fin,2,400,TA,TA,Y,No,No,No,0,Jul,2007,New,Partial,179540,82.20695970695971,0,2184,2.5,24,1456,12,800,124,2007-07-01,0.0
709,1-STORY 1946 & NEWER ALL STYLES,RL,0,7162,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,HdBoard,41,TA,TA,PConc,TA,TA,No,Unf,Unf,876,876,GasA,TA,Y,SBrkr,904,0,904,3,1,TA,6,Typ,0,No,Attchd,1966,Unf,1,408,TA,TA,Y,No,MnPrv,No,0,Dec,2008,WD,Abnorml,109900,61.741573033707866,42,1780,1.0,0,904,12,408,0,2008-12-01,0.0
710,1-STORY 1945 & OLDER,RL,56,4130,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,6,2003,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,CBlock,TA,TA,No,Unf,Unf,270,270,GasA,Gd,Y,SBrkr,729,0,729,2,1,TA,5,Maj2,0,No,No,2005,No,0,0,No,No,N,No,No,No,0,Jul,2008,WD,Normal,52000,52.052052052052055,73,999,1.0,0,729,9,0,0,2008-07-01,0.0
711,1-1/2 STORY FINISHED ALL AGES,C (all),66,8712,Pave,Reg,HLS,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,7,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,Stone,TA,TA,Mn,Unf,Unf,859,859,GasA,Gd,Y,SBrkr,859,0,1178,2,1,TA,7,Typ,0,No,Detchd,1964,RFn,1,384,TA,TA,N,No,No,No,0,Jan,2010,WD,Abnorml,102776,50.45459008345606,110,2037,1.0,98,1178,11,384,68,2010-01-01,0.0
712,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,40,4671,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1989,Gable,CompShg,HdBoard,HdBoard,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,461,1228,GasA,Gd,Y,SBrkr,1228,0,1228,2,1,Gd,5,Typ,1,Gd,Attchd,1988,Fin,2,472,TA,TA,Y,No,No,No,0,Oct,2008,WD,Normal,189000,76.9543973941368,20,2456,2.0,120,1995,13,944,288,2008-10-01,0.0
713,2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,60,9873,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,2fmCon,1Story,4,5,1970,Gable,CompShg,HdBoard,HdBoard,160,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,171,960,GasW,TA,N,SBrkr,960,0,960,3,1,TA,6,Typ,0,No,Detchd,1970,Unf,2,576,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,129000,67.1875,36,1920,1.0,288,1749,9,1152,288,2006-05-01,0.0
714,2-STORY 1946 & NEWER,RL,0,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,2005,Gable,CompShg,HdBoard,Plywood,289,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,192,725,GasA,Ex,Y,SBrkr,725,0,1479,3,1,Gd,6,Typ,0,No,Attchd,1976,RFn,2,475,TA,TA,Y,No,No,No,0,Mar,2010,WD,Normal,130500,59.21052631578947,34,2204,2.5,44,2012,14,950,44,2010-03-01,0.0
715,1-STORY 1946 & NEWER ALL STYLES,RL,78,10140,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1974,Hip,CompShg,HdBoard,HdBoard,174,TA,TA,CBlock,Gd,TA,No,Unf,Unf,1064,1064,GasA,TA,Y,SBrkr,1350,0,1350,3,1,TA,7,Typ,1,TA,Attchd,1974,RFn,2,478,TA,TA,Y,No,MnPrv,No,0,Aug,2009,WD,Normal,165000,68.35128417564209,35,2414,2.0,0,1350,11,956,0,2009-08-01,0.0
716,2-STORY 1945 & OLDER,RM,60,10800,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1998,Gable,CompShg,Wd Sdng,VinylSd,0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,718,718,GasA,Ex,Y,SBrkr,1576,0,2554,3,1,TA,8,Typ,0,No,Detchd,1996,Unf,2,704,TA,TA,P,No,No,No,0,Jul,2007,WD,Normal,159500,48.74694376528117,117,3272,1.5,191,2554,15,1408,48,2007-07-01,0.0
717,1-STORY 1946 & NEWER ALL STYLES,RL,80,10000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,2000,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,92,1176,GasA,Gd,Y,SBrkr,1178,0,1178,3,1,Gd,5,Typ,1,Fa,Attchd,1973,Unf,2,439,TA,TA,Y,No,MnPrv,No,0,Nov,2008,WD,Normal,157000,66.69498725573492,35,2354,1.5,0,2262,11,878,224,2008-11-01,0.0
718,2-STORY 1946 & NEWER,RL,96,10542,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1994,Hip,CompShg,Wd Sdng,ImStucc,651,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,138,1311,GasA,Ex,Y,SBrkr,1325,0,2418,3,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3,983,TA,TA,Y,No,No,No,0,Aug,2008,WD,Normal,341000,91.44542772861357,15,3729,2.5,370,3591,12,2949,404,2008-08-01,0.0
719,1-STORY 1946 & NEWER ALL STYLES,RL,69,9920,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1969,Gable,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,448,971,GasA,TA,Y,SBrkr,971,0,971,3,1,TA,5,Typ,1,Po,Attchd,1969,Unf,1,300,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,128500,66.16889804325437,37,1942,1.5,0,1494,11,300,0,2006-05-01,0.0
720,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,0,6563,Pave,IR1,Low,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,1Story,8,5,1985,Gable,CompShg,HdBoard,HdBoard,0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,594,1742,GasA,TA,Y,SBrkr,1742,0,1742,2,1,Gd,5,Typ,1,TA,Attchd,1985,RFn,2,564,TA,TA,Y,No,No,No,0,Dec,2006,WD,Normal,275000,78.93226176808267,21,3484,2.0,262,2890,13,1128,142,2006-12-01,0.0
721,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,0,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,169,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,186,848,GasA,Ex,Y,SBrkr,848,0,848,1,1,Gd,3,Typ,0,No,Attchd,2004,RFn,2,420,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,143000,84.31603773584905,6,1696,1.0,0,1510,11,840,160,2010-05-01,0.0
722,1-STORY 1946 & NEWER ALL STYLES,RL,70,8120,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1970,Gable,CompShg,MetalSd,MetalSd,0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,673,864,GasA,Ex,Y,SBrkr,864,0,864,3,1,TA,5,Typ,0,No,Detchd,1994,Unf,2,463,TA,TA,Y,No,No,No,0,Jul,2009,WD,Normal,124500,72.04861111111111,39,1728,1.0,0,1055,11,926,0,2009-07-01,0.0
723,1-1/2 STORY FINISHED ALL AGES,RL,60,8172,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,6,1972,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,PConc,TA,TA,No,Unf,Unf,941,941,GasA,Ex,Y,SBrkr,997,0,1470,4,1,TA,7,Typ,0,No,Detchd,1958,Unf,1,548,TA,TA,Y,No,No,No,0,May,2008,WD,Normal,135000,55.993363749481546,54,2411,2.0,156,1470,10,548,0,2008-05-01,0.0
724,1-STORY 1946 & NEWER ALL STYLES,RL,86,13286,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,9,5,2008,Hip,CompShg,CemntBd,CmentBd,340,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,464,1698,GasA,Ex,Y,SBrkr,1698,0,1698,3,1,Ex,8,Typ,1,Gd,Attchd,2007,Fin,3,768,TA,TA,Y,No,No,No,0,Feb,2009,WD,Normal,320000,94.22850412249706,2,3396,2.0,64,2932,14,2304,391,2009-02-01,0.0
725,1-STORY 1946 & NEWER ALL STYLES,RL,60,6960,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1970,Gable,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,250,864,GasA,TA,Y,SBrkr,864,0,864,3,1,Gd,5,Typ,0,No,Detchd,1989,Unf,2,660,TA,TA,Y,No,No,Shed,500,Nov,2009,WD,Normal,120500,69.73379629629629,39,1728,1.0,0,1478,10,1320,96,2009-11-01,0.0
726,1-STORY 1946 & NEWER ALL STYLES,RL,0,21695,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,9,2007,Hip,CompShg,Wd Sdng,Plywood,260,Gd,Gd,CBlock,Gd,TA,No,GLQ,Unf,72,880,GasA,Ex,Y,SBrkr,1680,0,1680,3,1,Gd,5,Typ,1,Gd,Attchd,1988,Fin,2,540,TA,TA,Y,No,No,No,0,Dec,2009,WD,Normal,222000,86.71875,21,2560,2.0,226,2488,15,1080,336,2009-12-01,0.0
727,1-STORY 1946 & NEWER ALL STYLES,RL,64,7314,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,82,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,508,1232,GasA,Ex,Y,SBrkr,1232,0,1232,2,1,Gd,6,Typ,0,No,Attchd,2007,RFn,2,632,TA,TA,Y,No,No,No,0,Feb,2009,WD,Normal,194500,78.93668831168831,2,2464,2.0,0,1956,12,1264,132,2009-02-01,0.0
728,DUPLEX - ALL STYLES AND AGES,RL,85,11475,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1958,Gable,CompShg,VinylSd,VinylSd,95,TA,TA,CBlock,TA,TA,No,Unf,Unf,1584,1584,GasA,TA,Y,SBrkr,1776,0,1776,4,2,TA,9,Typ,0,No,Detchd,1968,Unf,3,888,TA,TA,Y,No,No,No,0,Jul,2009,COD,Abnorml,110000,32.73809523809524,51,3360,2.0,25,1776,10,2664,25,2009-07-01,0.0
729,1-STORY 1945 & OLDER,RM,52,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,628,780,GasA,TA,Y,FuseA,848,360,1208,2,1,TA,5,Typ,0,No,Detchd,1962,Unf,2,539,TA,TA,Y,No,No,No,0,Jan,2009,WD,Normal,103000,51.81086519114688,84,1628,1.0,135,1360,9,1078,23,2009-01-01,0.0
730,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,39,5389,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1996,Gable,CompShg,CemntBd,CmentBd,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,415,1595,GasA,Ex,Y,SBrkr,1616,0,1616,2,1,Gd,5,Typ,1,TA,Attchd,1995,RFn,2,608,TA,TA,Y,No,No,No,0,Mar,2010,WD,Normal,236500,73.65306758019308,15,3211,2.0,152,2796,13,1216,389,2010-03-01,0.0
